regime,signal,h,n_sig,n_epi,effect_pct,p_hac,p_clu,p_nov_med,p_boot
1992-2000 bull,zero-cross,5,168,336,-0.07578122030483772,0.6297966369418133,0.6851343520923314,0.45718292843486946,0.6196666666666667
1992-2000 bull,zero-cross,10,166,333,0.06128542084587922,0.7658369193434307,0.8197520898501695,0.70299869463002,0.763
1992-2000 bull,zero-cross,20,164,329,0.18465872278388035,0.4805041611247376,0.6485777824946819,0.5214598333821813,0.483
1992-2000 bull,oversold,5,181,163,0.5264277049937349,0.009933052268911837,0.010239079436287823,0.12015475743696039,0.008666666666666666
1992-2000 bull,oversold,10,181,163,0.6097936662252315,0.02489355170740583,0.06207778593037066,0.3266980373670657,0.023333333333333334
1992-2000 bull,oversold,20,181,163,0.6245623795454223,0.20413668776120686,0.2857695428781377,0.4919161165853667,0.20233333333333334
1992-2000 bull,overbought,5,184,153,-0.24201142303720452,0.16479767232789677,0.1968866922800402,0.17728832245572013,0.152
1992-2000 bull,overbought,10,184,153,-0.03970339258845285,0.8945518750736802,0.9037443345706392,0.48347034976977177,0.885
1992-2000 bull,overbought,20,183,151,-0.44418646330597644,0.4155574607119915,0.449208671875477,0.5722171269829691,0.402
2000-2010 sideways/bear,zero-cross,5,241,483,-0.3395177558359473,0.04196588453841611,0.08232806712202573,0.37172857423918554,0.04933333333333333
2000-2010 sideways/bear,zero-cross,10,240,481,-0.28829025325121815,0.21053181394672704,0.35326867838296183,0.48112867946669347,0.21366666666666667
2000-2010 sideways/bear,zero-cross,20,239,479,-0.5673816392173378,0.17835831041291683,0.23299374031330733,0.5980624869898634,0.16966666666666666
2000-2010 sideways/bear,oversold,5,169,199,0.7504622333436677,0.026325085706119584,0.05074101693376877,0.3964344127583197,0.03666666666666667
2000-2010 sideways/bear,oversold,10,169,199,0.8057330765188759,0.07415961972085874,0.13180083515942972,0.5772903053845133,0.08166666666666667
2000-2010 sideways/bear,oversold,20,169,199,1.6195788144740468,0.002008859543197073,0.013820376682774893,0.359482217452446,0.0016666666666666668
2000-2010 sideways/bear,overbought,5,133,137,0.33322737756811716,0.2157195920979328,0.293461116101875,0.3872696876850548,0.221
2000-2010 sideways/bear,overbought,10,133,137,0.7057192129126627,0.07626469902230618,0.11710704823406476,0.1780649026296207,0.07733333333333334
2000-2010 sideways/bear,overbought,20,133,137,1.0180709830671055,0.1139224012522027,0.15376209889351006,0.3905920857620872,0.115
2010-2016 bull,zero-cross,5,153,307,-0.2656873102631821,0.07774311122543184,0.145888186163396,0.24029882943321565,0.07133333333333333
2010-2016 bull,zero-cross,10,153,307,-0.18199574528987061,0.34910377065721865,0.47349909251179834,0.6440181404957342,0.3556666666666667
2010-2016 bull,zero-cross,20,153,306,-0.23771784092022777,0.39985046382394296,0.551498746700503,0.4352535852367166,0.37766666666666665
