ticker,benchmark_proxy,entry_regime_prior_close,horizon_days,sample_size,median_short_mae_pct,short_mae_p75_pct,short_mae_p90_pct,short_mae_p95_pct,worst_short_mae_pct,median_gross_short_terminal_return_pct,adverse_at_horizon_pct
JNUG,GDXJ,choppy_indeterminate,30,2286,17.60080232457445,34.091354973890446,58.75741067440235,78.97973601716602,253.24847191994536,2.493350510527775,47.112860892388454
JNUG,GDXJ,choppy_indeterminate,60,2256,27.746915558140827,53.40885109869368,96.14483959456506,130.3904322741981,485.6475927681232,2.4605948047850825,47.91666666666667
JNUG,GDXJ,choppy_indeterminate,90,2229,34.86528332951097,67.46042280556959,119.07936393852982,163.469503017111,736.0279223538356,6.536339114550582,42.88918797667115
JNUG,GDXJ,choppy_indeterminate,180,2181,45.13932102528395,95.79912545736133,278.94341051401454,380.2953419829237,1380.4204328884193,20.75599295224092,37.689133425034385
JNUG,GDXJ,choppy_indeterminate,270,2144,54.25291924906796,128.727315760246,387.13379539130295,697.1145328797478,1380.4204328884193,24.85009407576917,39.73880597014926
JNUG,GDXJ,choppy_indeterminate,365,2079,58.41843120386736,165.282773373306,606.4851727922668,768.6908843630004,1380.4204328884193,36.81189308962697,37.46993746993747
JNUG,GDXJ,trending_bear,30,327,26.126992768109147,58.90115635025542,109.02580194693074,126.23418025217939,198.78936131385686,3.713708302908836,47.706422018348626
JNUG,GDXJ,trending_bear,60,327,30.329656044195374,69.57165791183044,147.72606243971657,177.03745603692101,223.52843716063663,14.480415888370523,31.19266055045872
JNUG,GDXJ,trending_bear,90,324,38.20067472910637,72.03336775476492,173.73333466985179,198.22155032248256,422.8900594540957,13.862562421468516,37.34567901234568
JNUG,GDXJ,trending_bear,180,324,55.93433947525952,122.3683822294445,206.48909590443353,267.96520377336253,446.2901400585223,8.899357401636255,45.67901234567901
JNUG,GDXJ,trending_bear,270,324,67.2207576021558,168.94201347868682,406.8282678800588,637.3997571897278,867.3589410161194,49.8362957846126,30.555555555555557
JNUG,GDXJ,trending_bear,365,324,67.67674867666457,174.52926175325183,406.8282678800588,637.6894256240753,867.3589410161194,32.95457360794414,32.098765432098766
JNUG,GDXJ,trending_bull,30,600,20.143714344674954,38.91302259573603,65.48313614299256,89.92777614343268,176.03792730048315,4.874436435979751,44.5
JNUG,GDXJ,trending_bull,60,600,26.385950791992194,59.09363552122838,128.50287691542877,160.92419168270075,246.99376727300196,9.64681900195658,42.16666666666667
JNUG,GDXJ,trending_bull,90,600,29.964985007028787,84.24003969539719,159.18823919302034,267.9880841718465,415.433334945154,9.94038829381293,43.333333333333336
JNUG,GDXJ,trending_bull,180,558,56.62320964515738,127.37451455362019,300.29804692013863,342.60548854397547,514.4491702018381,34.195397666241206,31.899641577060933
JNUG,GDXJ,trending_bull,270,505,57.32165635793294,126.00223740571126,353.6287637942747,485.6977770514486,703.0317143136756,55.72037358938553,29.108910891089106
JNUG,GDXJ,trending_bull,365,475,38.39332913284403,180.76099857987336,419.0367045537886,539.9775916894495,703.0317143136756,65.28032096621797,19.789473684210527
LABU,XBI,choppy_indeterminate,30,1943,16.70796892284292,31.65573102187771,49.65066014130527,61.99351613816982,132.27015295052448,0.7845620311728974,48.12146165723109
LABU,XBI,choppy_indeterminate,60,1932,23.88574783399724,47.88338925289378,74.3257483308759,97.7370094670215,171.94595514071526,3.9749550389522827,45.13457556935818
LABU,XBI,choppy_indeterminate,90,1902,28.5090239047422,58.42916735717149,100.97438307802597,144.4031490042189,254.37135139719223,4.540827666400782,46.52996845425867
LABU,XBI,choppy_indeterminate,180,1819,38.07562201750947,85.04440713701698,190.04532656904354,228.28039193901125,345.31302313321885,11.421353408208946,43.815283122594835
LABU,XBI,choppy_indeterminate,270,1803,46.471842179725,126.0097529409046,212.89853178273995,303.60677087721837,548.072099862099,12.587979967837558,44.86966167498613
LABU,XBI,choppy_indeterminate,365,1735,52.13797097149977,167.0182473408171,247.01876663225502,323.38216607094654,548.072099862099,16.232364411942633,43.861671469740635
LABU,XBI,trending_bear,30,404,27.578081411804668,48.72077041278153,76.20618797328379,102.69771403445134,194.00951555492333,-9.701896863308646,58.415841584158414
LABU,XBI,trending_bear,60,404,40.20697100561459,82.55348717936879,135.87527674406707,161.64886521435463,255.34379794067613,-14.03984928970563,61.386138613861384
LABU,XBI,trending_bear,90,404,45.91608508826843,91.75271393320625,166.25413969643273,215.05906820976952,394.48593845930924,-16.17454517559026,63.366336633663366
LABU,XBI,trending_bear,180,404,70.57061610826742,134.66333511908869,238.83173784176802,350.65459354593855,497.3685114322171,-11.056519396581045,57.17821782178218
LABU,XBI,trending_bear,270,404,78.50058385637134,139.68757473094198,301.6805135621213,574.2726475578586,1147.1748574438302,-22.881198420023207,61.386138613861384
LABU,XBI,trending_bear,365,377,76.20898529254107,153.62290858156572,339.55480731665796,618.4122920795473,1147.1748574438302,11.819025115843719,39.787798408488065
LABU,XBI,trending_bull,30,462,16.174905469836652,32.01415965206696,47.28974146200467,53.91040037363695,82.89907352558346,1.4181103991976085,47.4025974025974
LABU,XBI,trending_bull,60,443,22.733733080215735,49.474214672519565,67.45319028076214,93.17172682167343,119.64994427209609,8.344565884716593,38.60045146726862
LABU,XBI,trending_bull,90,443,33.23587983831899,51.50297370688194,73.92694688242224,107.96581274904341,156.60189265635785,9.041212815691102,44.24379232505643
LABU,XBI,trending_bull,180,436,46.03020666249472,88.12993760924286,161.6950189469867,182.78375184525436,296.55847038345337,-8.434444505723127,58.02752293577982
LABU,XBI,trending_bull,270,362,48.691621973391804,88.87655477772515,153.05916104150228,243.89943694505612,322.62974955588743,21.394304857502142,34.806629834254146
LABU,XBI,trending_bull,365,362,48.691621973391804,109.3095685694005,225.6761411990273,253.96615396106114,322.62974955588743,29.49331422844681,28.45303867403315
