ticker,benchmark_proxy,entry_timestamp_utc,entry_trading_day,days_held,daily_multiplier,account_leverage,open_rate_public_snapshot,live_net_profit_pct_public_snapshot,stop_loss_rate,take_profit_rate,entry_regime_prior_close,subsequent_regime_path,current_short_mae_pct,benchmark_cumulative_return_pct,daily_reset_comparator_return_pct,etf_total_return_pct,volatility_drag_vs_linear_pct,etf_tracking_residual_vs_comparator_pct,benchmark_annualized_volatility_pct,comparison_horizon_days,historical_short_mae_sample_size,current_short_mae_percentile,sample_size,historical_median_gross_short_return_pct,annual_carrying_cost_pct,estimated_carrying_cost_pct,modeled_net_short_return_pct,historical_median_net_short_return_pct,mae_percentile_threshold,max_position_loss_pct,max_aggregate_loss_pct,aggregate_loss_limit_status,decision,decision_reason
JNUG,GDXJ,2025-08-07T16:34:38Z,2025-08-07,274,2,1,89.4456,-37.729502,300.0,0.0,choppy_indeterminate,"choppy_indeterminate:60%, trending_bull:39%, trending_bear:1%",302.9303947660776,77.86648628256097,126.19722169846472,111.68257399992059,-29.535750866657207,-14.514647698544136,54.528146782911925,270,2144,86.75373134328358,2144,24.85009407576917,20.0,15.013698630136986,-126.69627263005758,10.055573527823965,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-05-08T16:41:34Z,2025-05-08,336,2,1,69.7752,-43.74671,300.0,0.0,choppy_indeterminate,"choppy_indeterminate:63%, trending_bull:36%, trending_bear:1%",422.5066457420114,107.88435145025818,198.83852596408383,174.5028747879544,-16.930176936432552,-24.335651176129414,51.644840246413814,365,2079,86.91678691678692,2079,36.81189308962697,20.0,18.410958904109588,-192.91383369206397,16.81189308962697,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-08-07T17:34:13Z,2025-08-07,274,2,1,88.8166,-37.93439,300.0,0.0,choppy_indeterminate,"choppy_indeterminate:60%, trending_bull:39%, trending_bear:1%",302.9303947660776,77.86648628256097,126.19722169846472,111.68257399992059,-29.535750866657207,-14.514647698544136,54.528146782911925,270,2144,86.75373134328358,2144,24.85009407576917,20.0,15.013698630136986,-126.69627263005758,10.055573527823965,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-05-05T17:02:27Z,2025-05-05,339,2,2,66.1206,-47.776722,300.0,0.02,choppy_indeterminate,"choppy_indeterminate:63%, trending_bull:36%, trending_bear:1%",434.62001342345457,110.77777377316274,205.96326334360006,180.8667254279737,-15.592284202725404,-25.09653791562636,51.728175595850715,365,2079,87.06108706108706,2079,36.81189308962697,20.0,18.575342465753426,-199.44206789372714,16.81189308962697,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-05-21T19:58:26Z,2025-05-21,327,2,5,70.524,-48.720273,300.0,0.05,choppy_indeterminate,"choppy_indeterminate:62%, trending_bull:38%, trending_bear:1%",410.4224866207919,103.73849856201139,190.59462441042564,168.15436908912415,-16.882372713597114,-22.440255321301493,51.51797458783117,365,2079,86.62818662818663,2079,36.81189308962697,20.0,17.91780821917808,-186.07217730830223,16.81189308962697,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-05-23T17:48:02Z,2025-05-23,325,2,5,74.2284,-47.827858,300.0,0.05,choppy_indeterminate,"choppy_indeterminate:61%, trending_bull:38%, trending_bear:1%",387.7247961284965,99.04435909359668,177.59454907761355,156.22996326202835,-20.49416910957982,-21.36458581558518,51.617495063236795,365,2079,86.43578643578643,2079,36.81189308962697,20.0,17.80821917808219,-174.03818244011055,16.81189308962697,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
JNUG,GDXJ,2025-06-03T15:20:43Z,2025-06-03,319,2,5,80.8585,-46.167213,300.0,0.01,choppy_indeterminate,"choppy_indeterminate:61%, trending_bull:38%, trending_bear:1%",334.0562801343118,87.3682651047852,147.01757541445,128.0347966625952,-27.71895479512039,-18.982778751854788,51.76880556432053,365,2079,86.0990860990861,2079,36.81189308962697,20.0,17.47945205479452,-145.5142487173897,16.81189308962697,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
LABU,XBI,2026-06-17T14:18:39Z,2026-06-17,58,3,1,201.83,-22.510121,400.0,0.0,choppy_indeterminate,"choppy_indeterminate:66%, trending_bull:34%",70.42561825846825,12.71546982151419,35.079585388154676,32.837680932110146,-3.0668240763878973,-2.24190445604453,29.412058043426615,60,1932,88.14699792960663,1932,3.9749550389522827,20.0,3.1780821917808217,-36.01576312389097,0.6872838060755706,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached
LABU,XBI,2026-05-26T15:24:09Z,2026-05-26,74,3,1,180.38,-28.660146,400.0,0.0,choppy_indeterminate,"choppy_indeterminate:73%, trending_bull:27%",88.20255445991259,17.820825834851362,50.46532832088171,46.69385468819747,-2.9971491836723763,-3.7714736326842413,30.86076381058394,60,1932,93.01242236024845,1932,3.9749550389522827,20.0,4.054794520547945,-50.74864920874541,0.6872838060755706,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,MAE percentile threshold breached; modeled position-loss limit breached
LABU,XBI,2026-08-17T15:03:37Z,2026-08-17,17,3,1,283.3,4.99,424.37,0.0,choppy_indeterminate,"choppy_indeterminate:94%, trending_bull:6%",18.882701811701107,-1.6109772990001492,-6.960241689698443,-7.337273744493189,-2.1273097926979956,-0.3770320547947459,35.63950223291907,30,1943,54.19454451878538,1943,0.7845620311728974,20.0,0.9315068493150684,6.40576689517812,-0.8592735852654587,85.0,50.0,15.0,not_evaluable_without_account_equity_and_dollar_exposure,stop_copying_no_new_shorts,non-positive historical net expectancy
